Date,Clicks,Impressions,CTR,Position
2026-03-02,0,996,0%,19.9
2026-03-03,0,1005,0%,28.3
2026-03-04,1,1145,0.09%,33
2026-03-05,1,1059,0.09%,34
2026-03-06,0,876,0%,35.3
2026-03-07,0,839,0%,42.7
2026-03-08,2,994,0.2%,44.1
2026-03-09,2,1061,0.19%,36.4
2026-03-10,2,1131,0.18%,38.7
2026-03-11,0,1095,0%,43.2
2026-03-12,3,916,0.33%,36.4
2026-03-13,0,882,0%,38.5
2026-03-14,3,789,0.38%,37.9
2026-03-15,1,787,0.13%,43.8
2026-03-16,1,1013,0.1%,36
2026-03-17,4,1088,0.37%,35.3
2026-03-18,3,1025,0.29%,35.5
2026-03-19,1,892,0.11%,28.5
2026-03-20,1,726,0.14%,30.4
2026-03-21,1,691,0.14%,37.2
2026-03-22,1,821,0.12%,33.1
2026-03-23,2,823,0.24%,26.6
2026-03-24,1,878,0.11%,32
2026-03-25,3,930,0.32%,30.7
2026-03-26,2,1220,0.16%,49.9
2026-03-27,1,823,0.12%,28.3
2026-03-28,0,757,0%,30.2
2026-03-29,3,832,0.36%,32.9
2026-03-30,4,780,0.51%,24.9
2026-03-31,2,628,0.32%,20.6
2026-04-01,1,626,0.16%,23.8
2026-04-02,2,545,0.37%,23.1
2026-04-03,1,640,0.16%,29.8
2026-04-04,2,615,0.33%,21.5
2026-04-05,0,576,0%,24.7
2026-04-06,1,710,0.14%,27.6
2026-04-07,1,774,0.13%,24.5
2026-04-08,2,697,0.29%,25.3
2026-04-09,0,830,0%,21.3
2026-04-10,0,623,0%,24.6
2026-04-11,2,561,0.36%,25.3
2026-04-12,1,552,0.18%,28.8
2026-04-13,1,795,0.13%,22.5
2026-04-14,2,984,0.2%,28.8
2026-04-15,2,757,0.26%,23.8
2026-04-16,5,743,0.67%,23.2
2026-04-17,1,687,0.15%,19.7
2026-04-18,2,465,0.43%,22.6
2026-04-19,0,597,0%,24.7
2026-04-20,6,776,0.77%,24
2026-04-21,2,675,0.3%,22.6
2026-04-22,1,886,0.11%,26.8
2026-04-23,3,687,0.44%,25
2026-04-24,1,440,0.23%,29.6
2026-04-25,0,429,0%,26.6
2026-04-26,3,427,0.7%,28.5
2026-04-27,0,580,0%,29.5
2026-04-28,2,725,0.28%,29.5
2026-04-29,1,821,0.12%,33.6
2026-04-30,2,846,0.24%,30.2
2026-05-01,2,615,0.33%,21.8
2026-05-02,1,632,0.16%,24.9
2026-05-03,1,810,0.12%,27.8
2026-05-04,3,801,0.37%,24.2
2026-05-05,1,878,0.11%,20.3
2026-05-06,2,825,0.24%,26.4
2026-05-07,2,801,0.25%,25.7
2026-05-08,0,694,0%,25.3
2026-05-09,3,656,0.46%,27.6
2026-05-10,3,648,0.46%,30.3
2026-05-11,2,749,0.27%,27.3
2026-05-12,4,787,0.51%,23.6
2026-05-13,2,708,0.28%,22
2026-05-14,2,724,0.28%,20.9
2026-05-15,7,936,0.75%,21.5
2026-05-16,1,867,0.12%,23.5
2026-05-17,2,1049,0.19%,25.9
2026-05-18,6,1096,0.55%,27.3
2026-05-19,3,699,0.43%,30.9
2026-05-20,8,848,0.94%,30.8
2026-05-21,3,773,0.39%,26.5
2026-05-22,5,586,0.85%,29.5
2026-05-23,1,530,0.19%,32.2
2026-05-24,0,642,0%,34.7
2026-05-25,1,639,0.16%,31.7
2026-05-26,2,619,0.32%,29.2
2026-05-27,6,650,0.92%,33.8
2026-05-28,4,554,0.72%,28.6
2026-05-29,2,618,0.32%,25.3
2026-05-30,0,607,0%,23.2
2026-05-31,1,681,0.15%,30.2
2026-06-01,7,899,0.78%,26.6
