Country,Clicks,Impressions,CTR,Position
United States,128,46029,0.28%,27.86
Canada,13,1300,1%,20.15
Pakistan,6,203,2.96%,9.85
Mexico,5,370,1.35%,10.28
India,4,1209,0.33%,22.4
Australia,3,1082,0.28%,41.82
Latvia,3,56,5.36%,30.54
Egypt,2,80,2.5%,11.94
Puerto Rico,2,31,6.45%,9.58
United Kingdom,1,12032,0.01%,48.02
Brazil,1,884,0.11%,10.68
Netherlands,1,453,0.22%,37.75
Spain,1,359,0.28%,12.28
Vietnam,1,314,0.32%,15.29
Philippines,1,260,0.38%,10.81
United Arab Emirates,1,149,0.67%,12.9
Hong Kong,1,121,0.83%,7.39
Poland,1,121,0.83%,13.83
Nigeria,1,101,0.99%,13.27
Israel,1,92,1.09%,17.84
Croatia,1,25,4%,17.96
Cambodia,1,24,4.17%,6.67
Germany,0,492,0%,15.34
France,0,321,0%,12.55
Italy,0,226,0%,14.09
Indonesia,0,194,0%,10.01
China,0,184,0%,8.58
Singapore,0,180,0%,20.16
Argentina,0,174,0%,10.98
Colombia,0,174,0%,11.05
South Africa,0,174,0%,27.2
Japan,0,163,0%,21.17
Ukraine,0,145,0%,11.26
Malaysia,0,137,0%,9.13
Turkey,0,135,0%,12.07
Thailand,0,134,0%,10.9
Russia,0,122,0%,11.22
Sweden,0,115,0%,33.46
Bangladesh,0,113,0%,10.03
South Korea,0,108,0%,11.11
Denmark,0,95,0%,22.78
Portugal,0,94,0%,13.97
New Zealand,0,85,0%,24.46
Ecuador,0,76,0%,8.13
Switzerland,0,76,0%,14.82
Ireland,0,74,0%,18.78
Peru,0,67,0%,9.54
Chile,0,65,0%,11.4
Belgium,0,64,0%,16.92
Romania,0,62,0%,10.16
Kenya,0,60,0%,6.88
Hungary,0,60,0%,8.12
Greece,0,58,0%,13.02
Saudi Arabia,0,57,0%,12.12
Austria,0,57,0%,17.47
Iran,0,55,0%,8.25
Iraq,0,52,0%,15.67
Jamaica,0,50,0%,8.82
Serbia,0,50,0%,15.22
Dominican Republic,0,48,0%,7.33
Morocco,0,48,0%,9.15
Finland,0,46,0%,17.04
Czechia,0,45,0%,14.4
Bulgaria,0,43,0%,18.74
Venezuela,0,42,0%,13.14
Paraguay,0,41,0%,6.54
Algeria,0,40,0%,16.3
Taiwan,0,39,0%,10.64
Tunisia,0,38,0%,7.95
Malta,0,36,0%,48.06
Slovakia,0,31,0%,13.06
Norway,0,31,0%,16.74
Belarus,0,29,0%,8.45
Uzbekistan,0,28,0%,9.86
Georgia,0,27,0%,9.44
Jordan,0,26,0%,20.92
Ethiopia,0,25,0%,11.4
Albania,0,24,0%,6.08
Panama,0,24,0%,6.62
Guatemala,0,24,0%,10.46
Costa Rica,0,23,0%,11.3
Trinidad & Tobago,0,21,0%,5.62
Honduras,0,21,0%,17.48
Lithuania,0,21,0%,20.48
Kazakhstan,0,20,0%,24.15
Bolivia,0,19,0%,10.79
Nepal,0,19,0%,17.11
Moldova,0,18,0%,5.39
Palestine,0,17,0%,17.88
Bosnia & Herzegovina,0,16,0%,9.31
Estonia,0,16,0%,10.81
Slovenia,0,15,0%,20.87
Uruguay,0,15,0%,23
Sri Lanka,0,14,0%,7.07
Macedonia,0,14,0%,18.79
Uganda,0,13,0%,4.38
Cuba,0,13,0%,5.23
Cyprus,0,13,0%,6.15
Syria,0,13,0%,9.85
Qatar,0,13,0%,14.23
Ghana,0,12,0%,6.67
Kosovo,0,12,0%,9.42
Myanmar (Burma),0,11,0%,12
El Salvador,0,10,0%,5.6
Bahamas,0,10,0%,8.7
Oman,0,9,0%,6.89
Armenia,0,9,0%,13.11
Kuwait,0,9,0%,13.67
Lebanon,0,8,0%,8.75
Azerbaijan,0,8,0%,15
Belize,0,7,0%,3
Tanzania,0,7,0%,7
Nicaragua,0,7,0%,7.14
Burkina Faso,0,7,0%,19
Bahrain,0,6,0%,4.83
Unknown Region,0,6,0%,5.67
Barbados,0,6,0%,8.67
Mauritius,0,6,0%,9.17
Botswana,0,6,0%,17.5
Iceland,0,6,0%,18
Luxembourg,0,5,0%,19.2
Kyrgyzstan,0,5,0%,19.8
Maldives,0,5,0%,27.6
Montenegro,0,5,0%,33
Lesotho,0,4,0%,1
Zambia,0,4,0%,5.25
Tajikistan,0,4,0%,9.5
Cayman Islands,0,4,0%,18
Rwanda,0,4,0%,21.5
Mongolia,0,4,0%,28.25
Antigua & Barbuda,0,3,0%,3.33
Madagascar,0,3,0%,5.67
Congo - Kinshasa,0,3,0%,7
Congo - Brazzaville,0,3,0%,8.67
Senegal,0,3,0%,9
Grenada,0,3,0%,17.67
Zimbabwe,0,3,0%,22
Angola,0,3,0%,42.67
Martinique,0,2,0%,2.5
Malawi,0,2,0%,2.5
Côte d’Ivoire,0,2,0%,3
Guyana,0,2,0%,6
Curaçao,0,2,0%,7
Gibraltar,0,2,0%,7
U.S. Virgin Islands,0,2,0%,8
Aruba,0,2,0%,10
Gambia,0,2,0%,10
Togo,0,2,0%,30
Liechtenstein,0,2,0%,44.5
Anguilla,0,1,0%,1
Haiti,0,1,0%,1
St. Lucia,0,1,0%,1
Mozambique,0,1,0%,1
Papua New Guinea,0,1,0%,1
Swaziland,0,1,0%,2
Cape Verde,0,1,0%,5
Sudan,0,1,0%,5
Solomon Islands,0,1,0%,5
Cameroon,0,1,0%,6
Afghanistan,0,1,0%,7
St. Martin,0,1,0%,7
Turks & Caicos Islands,0,1,0%,7
Yemen,0,1,0%,7
Dominica,0,1,0%,8
Macau,0,1,0%,8
Sierra Leone,0,1,0%,8
Tonga,0,1,0%,8
Laos,0,1,0%,9
French Polynesia,0,1,0%,9
Samoa,0,1,0%,9
Namibia,0,1,0%,10
Brunei,0,1,0%,11
St. Kitts & Nevis,0,1,0%,11
Andorra,0,1,0%,12
North Korea,0,1,0%,17
Benin,0,1,0%,28
Western Sahara,0,1,0%,42
